CATEGORIA,NOMBRE,DESCRIPCION,DIRECCION,REFERENCIA,TELEFONO,HORARIO,TARIFA,PUNTOS_POR_MIL
Tiendas,Tienda La Esperanza,Víveres abarrotes y productos de la canasta familiar,Calle 3 # 5-10,Frente a la iglesia,3101234501,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda El Progreso,Abarrotes granos y bebidas al por mayor y detal,Carrera 4 # 2-15,Al lado de la alcaldía,3101234502,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda Doña Rosa,Surtido completo de víveres y productos de aseo,Calle 5 # 1-20,Esquina del parque,3101234503,Lunes a Sábado 6am-8pm,Precio de lista,10
Tiendas,Tienda San José,Granos frescos lácteos y enlatados,Carrera 2 # 6-30,Barrio El Centro,3101234504,Lunes a Domingo 7am-9pm,Precio de lista,10
Tiendas,Tienda La Bendición,Víveres bebidas y productos de primera necesidad,Calle 7 # 3-45,Cerca al colegio,3101234505,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda El Buen Precio,Surtido variado con precios económicos,Carrera 6 # 4-12,Barrio Las Flores,3101234506,Lunes a Sábado 7am-8pm,Precio de lista,10
Tiendas,Tienda La Cosecha,Productos agrícolas y víveres del campo,Calle 2 # 8-22,Entrada al pueblo,3101234507,Lunes a Domingo 6am-8pm,Precio de lista,10
Tiendas,Tienda Mi Pueblo,Abarrotes y productos locales de calidad,Carrera 3 # 5-18,Frente al parque,3101234508,Lunes a Domingo 7am-9pm,Precio de lista,10
Tiendas,Tienda La Economía,Precios bajos y buen surtido para el hogar,Calle 4 # 7-33,Barrio Nuevo,3101234509,Lunes a Sábado 6am-8pm,Precio de lista,10
Tiendas,Tienda El Vecino,Víveres licores y productos de aseo,Carrera 5 # 3-27,Al lado de la cancha,3101234510,Lunes a Domingo 6am-10pm,Precio de lista,10
Tiendas,Tienda La Frontera,Surtido completo y atención personalizada,Calle 8 # 2-14,Salida al municipio,3101234511,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda El Manantial,Abarrotes frescos y productos naturales,Carrera 7 # 1-35,Barrio El Prado,3101234512,Lunes a Sábado 7am-8pm,Precio de lista,10
Tiendas,Tienda La Palma,Víveres y productos básicos de la canasta,Calle 6 # 4-19,Frente a la escuela,3101234513,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda Don Álvaro,Surtido variado licores y golosinas,Carrera 1 # 9-42,Barrio Abajo,3101234514,Lunes a Domingo 7am-10pm,Precio de lista,10
Tiendas,Tienda El Camino,Abarrotes y productos para el campo,Calle 9 # 3-16,Via principal,3101234515,Lunes a Sábado 6am-7pm,Precio de lista,10
Tiendas,Tienda La Unión,Víveres y granos al por mayor y detal,Carrera 8 # 2-28,Barrio La Unión,3101234516,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda El Roble,Productos de primera necesidad y aseo,Calle 1 # 6-37,Esquina norte,3101234517,Lunes a Sábado 7am-8pm,Precio de lista,10
Tiendas,Tienda La Montaña,Abarrotes frescos y bebidas frías,Carrera 9 # 5-11,Subida al barrio alto,3101234518,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda San Pedro,Víveres enlatados y productos de panadería,Calle 10 # 4-23,Barrio San Pedro,3101234519,Lunes a Domingo 6am-9pm,Precio de lista,10
Tiendas,Tienda El Triunfo,Surtido completo con delivery local,Carrera 10 # 3-44,Centro del pueblo,3101234520,Lunes a Domingo 7am-9pm,Precio de lista,10
Tiendas,Tienda La Alegría,Víveres golosinas y bebidas para toda la familia,Calle 11 # 2-15,Barrio La Alegría,3101234521,Lunes a Sábado 6am-8pm,Precio de lista,10
Tiendas,Tienda El Pórtico,Abarrotes y productos importados económicos,Carrera 11 # 6-32,Entrada barrio nuevo,3101234522,Lunes a Domingo 7am-9pm,Precio de lista,10
